Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1491.2609
FDW14,8.3,reg,0.038427677,Dairy,87.3198,OUT017,2007,,Tier 2,Supermarket Type1,1186.1796
NCN55,14.6,Low Fat,0.099574908,Others,241.7538,OUT010,1998,,Tier 3,Grocery Store,526.5831
FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,,Tier 2,Supermarket Type1,2132.571
FDY38,,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,6572.9785
FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,1740.0431
FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,587.6184
FDC48,,Low Fat,0.015782495,Baking Goods,81.0592,OUT027,1985,Medium,Tier 3,Supermarket Type3,2048.056
FDN33,6.305,Regular,0.12336544599999999,Snack Foods,95.7436,OUT045,2002,,Tier 2,Supermarket Type1,1296.1927
FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924,OUT017,2007,,Tier 2,Supermarket Type1,2745.512
FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,,Tier 2,Supermarket Type1,1778.5138
FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,,Tier 2,Supermarket Type1,1546.6223
NCC54,,Low Fat,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Small,Tier 1,Grocery Store,608.7712
FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,1894.1227
DRL59,16.75,LF,0.021206463999999998,Hard Drinks,52.0298,OUT013,1987,High,Tier 3,Supermarket Type1,732.62396
FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,OUT049,1999,Medium,Tier 1,Supermarket Type1,2158.613
FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768,OUT045,2002,,Tier 2,Supermarket Type1,2640.8564
DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,Tier 3,Supermarket Type2,2912.742
NCM42,,Low Fat,0.028184344,Household,109.6912,OUT027,1985,Medium,Tier 3,Supermarket Type3,2509.429
FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.7136,OUT010,1998,,Tier 3,Grocery Store,418.12915
FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.00799999999998,OUT013,1987,High,Tier 3,Supermarket Type1,2640.1357
NCJ31,19.2,Low Fat,0.182619235,Others,239.9196,OUT035,2004,Small,Tier 2,Supermarket Type1,3656.5852
FDG52,13.65,LF,0.06563084400000001,Frozen Foods,47.7402,OUT046,1997,Small,Tier 1,Supermarket Type1,696.98517
NCL19,,Low Fat,0.027447057,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store,395.3869
FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,Tier 2,Supermarket Type1,2855.5168
FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928,OUT010,1998,,Tier 3,Grocery Store,621.08167
NCF19,13.0,Low Fat,0.035102094,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,723.9502
NCE06,5.825,Low Fat,0.09148523199999999,Household,161.3894,OUT046,1997,Small,Tier 1,Supermarket Type1,2267.2126
DRC27,13.8,Low Fat,0.058102469000000004,Dairy,244.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,3383.2812
FDE21,12.8,LF,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1936.3972
NCR42,,Low Fat,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store,60.76547
FDX51,9.5,Regular,0.022148582000000003,Meat,194.9452,OUT018,2009,Medium,Tier 3,Supermarket Type2,2585.445
NCR06,12.5,Low Fat,0.006792706999999999,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,466.963
