Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1606.45521
FDW14,OUT017,1436.470632
NCN55,OUT010,582.054329
FDQ58,OUT017,2471.560352
FDY38,OUT027,6274.575327
FDH56,OUT046,1929.632671
FDL48,OUT018,704.109738
FDC48,OUT027,2289.829763
FDN33,OUT045,1532.257421
FDA36,OUT017,3096.234888
FDT44,OUT017,1948.219584
FDQ56,OUT045,1422.071557
NCC54,OUT019,567.5232337
FDU11,OUT049,2077.218567
DRL59,OUT013,735.9907205
FDM24,OUT049,2429.777247
FDI57,OUT045,3130.970429
DRC12,OUT018,3099.234147
NCM42,OUT027,2825.354564
FDA46,OUT010,486.4141427
FDA31,OUT013,2859.94827
NCJ31,OUT035,3960.369185
FDG52,OUT046,702.2112747
NCL19,OUT019,322.8955733
FDS10,OUT035,2956.331625
FDX22,OUT010,576.6539581
NCF19,OUT035,702.2112747
NCE06,OUT046,2621.820347
DRC27,OUT046,3957.897178
FDE21,OUT035,1929.16594
NCR42,OUT019,76.89234403
FDX51,OUT018,3100.386045
NCR06,OUT018,693.4709577
FDU31,OUT027,5645.134373
FDU59,OUT017,2648.575536
FDR03,OUT027,5569.464956
FDS49,OUT027,2238.545309
FDD48,OUT010,268.2896074
NCF18,OUT017,3105.753099
NCD43,OUT027,2655.257737
NCD54,OUT018,2124.572031
FDY19,OUT010,268.5355543
NCY54,OUT017,2860.361052
NCL19,OUT018,2412.639369
FDP23,OUT010,522.8715492
FDC26,OUT013,1699.482498
FDR14,OUT010,175.7228365
NCS41,OUT035,3096.62375
FDF41,OUT035,3974.234765
FDU34,OUT046,2080.963132
DRH11,OUT046,846.6439485
FDM03,OUT013,1604.976905
FDS31,OUT017,2975.497275
FDJ20,OUT017,2077.218567
FDV44,OUT027,5201.553538
FDG02,OUT049,3099.576396
FDA09,OUT013,2938.272107
FDT04,OUT013,693.1893188
FDL58,OUT019,588.8668849
FDE52,OUT045,1461.154619
FDW12,OUT035,2413.932209
FDL51,OUT017,3495.788561
NCY42,OUT027,3432.317612
FDR07,OUT017,1545.261489
FDN40,OUT045,2441.990032
FDB35,OUT027,2512.556038
FDA22,OUT017,2655.982915
NCL06,OUT046,4051.169291
FDI35,OUT013,2980.478828
NCW42,OUT045,3648.162475
NCX06,OUT049,2946.9027
FDC37,OUT027,2670.549661
FDZ14,OUT018,2077.218567
DRG49,OUT049,3965.658417
NCG06,OUT045,4020.962505
DRC36,OUT045,2860.337165
FDV21,OUT019,404.8138694
FDB53,OUT046,2417.750489
DRP47,OUT019,556.7603032
FDA14,OUT013,2414.173589
DRC24,OUT035,2442.298042
FDW21,OUT018,1579.02548
NCH29,OUT046,1545.690146
FDU58,OUT013,3097.252451
FDY27,OUT017,2881.780189
FDV56,OUT035,1613.081987
FDT59,OUT046,3873.226195
FDB23,OUT046,3796.44519
FDR49,OUT045,702.2112747
FDB03,OUT010,569.7187982
FDN39,OUT045,2653.443727
FDX02,OUT027,5872.187681
FDQ16,OUT027,2670.549661
FDU35,OUT018,1572.609218
NCT29,OUT013,2077.218567
FDZ27,OUT046,702.2112747
FDN57,OUT017,2092.180012
FDA03,OUT018,2413.256641
FDZ36,OUT045,3096.211001
NCU05,OUT013,1324.953519
FDT39,OUT018,2429.245748
FDK60,OUT017,1545.261489
FDZ25,OUT017,2787.252685
FDG12,OUT046,2077.218567
DRB01,OUT019,464.0447356
NCC43,OUT027,6277.942145
FDX13,OUT019,532.2787591
FDM22,OUT049,793.9587803
FDJ03,OUT027,1270.314123
FDU14,OUT018,3712.296897
FDB33,OUT010,400.3589146
FDP27,OUT046,3098.692674
FDO38,OUT010,175.2775443
FDE28,OUT027,6270.602265
FDO27,OUT035,1527.272985
DRL23,OUT027,2663.406487
FDS28,OUT046,846.6439485
FDX24,OUT013,1483.545107
FDZ02,OUT035,1542.179557
FDL46,OUT045,1929.632671
FDS60,OUT027,5032.028228
NCO06,OUT017,693.1893188
FDO16,OUT035,1399.610303
FDC60,OUT049,1436.470632
FDA48,OUT018,3387.724485
FDZ36,OUT027,5176.534663
FDK27,OUT045,2067.825942
FDW23,OUT018,693.1893188
FDM14,OUT018,1661.989342
FDM14,OUT013,1606.45521
FDW60,OUT018,2875.018173
FDE21,OUT013,1928.083811
NCM42,OUT035,1614.705214
FDY59,OUT010,225.2184788
DRI49,OUT049,1324.953519
FDT28,OUT019,339.5253714
FDQ22,OUT018,693.1893188
FDR60,OUT049,1228.00985
FDC50,OUT019,243.4410638
FDV24,OUT013,2429.777247
DRF48,OUT010,556.9926222
FDQ47,OUT046,693.1893188
DRN36,OUT049,1545.690146
NCY06,OUT035,2084.211329
FDE52,OUT035,1459.675758
NCB54,OUT045,2082.799307
NCF31,OUT035,2440.826338
FDJ08,OUT027,5145.780329
NCC07,OUT017,1602.91234
NCD19,OUT027,1654.557335
FDL46,OUT049,1977.583158
FDM20,OUT045,3963.752803
NCI06,OUT010,458.115155
DRM11,OUT035,4040.487186
NCH07,OUT018,2579.498889
FDS23,OUT013,2087.853688
FDO49,OUT018,702.4406796
FDS35,OUT049,1019.914817
DRK39,OUT045,1347.615601
DRI39,OUT049,846.9799124
FDV04,OUT017,2579.459826
NCN14,OUT035,3095.418917
FDH08,OUT013,3887.166328
FDS20,OUT046,3096.167712
FDV40,OUT049,1123.543754
FDZ48,OUT010,253.9346398
FDS24,OUT027,2460.834167
FDK44,OUT049,2861.247404
FDS48,OUT045,2419.909187
FDK26,OUT010,650.3103491
FDD23,OUT045,3097.265454
NCH54,OUT017,2622.609554
NCP14,OUT010,235.8997258
FDM60,OUT010,82.52421083
FDV24,OUT017,2429.681285
FDH08,OUT018,3585.035017
FDS12,OUT027,3335.267255
FDR39,OUT027,5037.568497
FDP12,OUT027,1095.900643
DRF60,OUT027,6229.891035
FDC09,OUT035,1592.220509
FDF50,OUT018,3114.445639
FDG28,OUT035,3968.710618
